image_path,y_min,x_max,y_max,x_min
test_images/kriti_dataset/18_and_above/30805.jpg,22,86,92,31
test_images/kriti_dataset/18_and_above/7248.jpg,20,97,89,44
test_images/kriti_dataset/18_and_above/27381.jpg,27,91,100,38
test_images/kriti_dataset/18_and_above/39472.jpg,22,86,99,29
test_images/kriti_dataset/18_and_above/5873.jpg,18,97,97,43
test_images/kriti_dataset/18_and_above/34766.jpg,19,91,96,27
test_images/kriti_dataset/18_and_above/19926.jpg,25,93,95,41
test_images/kriti_dataset/18_and_above/43275.jpg,25,90,105,33
test_images/kriti_dataset/18_and_above/28478.jpg,20,82,94,29
test_images/kriti_dataset/18_and_above/22008.jpg,20,93,93,33
test_images/kriti_dataset/18_and_above/17561.jpg,30,86,92,37
test_images/kriti_dataset/18_and_above/29545.jpg,15,96,97,37
test_images/kriti_dataset/18_and_above/41482.jpg,19,99,102,36
test_images/kriti_dataset/18_and_above/38238.jpg,15,91,98,26
test_images/kriti_dataset/18_and_above/39595.jpg,27,93,95,35
test_images/kriti_dataset/18_and_above/36822.jpg,13,97,97,34
test_images/kriti_dataset/18_and_above/19294.jpg,25,96,93,38
test_images/kriti_dataset/18_and_above/12646.jpg,28,95,95,41
test_images/kriti_dataset/18_and_above/12646.jpg,16,128,75,102
test_images/kriti_dataset/18_and_above/5344.jpg,23,89,94,35
test_images/kriti_dataset/18_and_above/30440.jpg,40,90,96,44
test_images/kriti_dataset/18_and_above/42967.jpg,15,84,91,30
test_images/kriti_dataset/18_and_above/34180.jpg,20,85,102,27
test_images/kriti_dataset/18_and_above/34180.jpg,34,115,72,94
test_images/kriti_dataset/18_and_above/12348.jpg,18,103,107,41
test_images/kriti_dataset/18_and_above/10373.jpg,16,92,98,28
test_images/kriti_dataset/18_and_above/25366.jpg,24,88,92,41
test_images/kriti_dataset/18_and_above/7405.jpg,18,86,96,28
test_images/kriti_dataset/18_and_above/19609.jpg,22,88,89,42
test_images/kriti_dataset/18_and_above/19609.jpg,31,42,93,6
test_images/kriti_dataset/18_and_above/12009.jpg,18,88,91,34
test_images/kriti_dataset/18_and_above/28172.jpg,29,82,90,35
test_images/kriti_dataset/18_and_above/40173.jpg,13,100,101,35
test_images/kriti_dataset/18_and_above/40341.jpg,18,87,101,26
test_images/kriti_dataset/18_and_above/26207.jpg,17,92,96,37
test_images/kriti_dataset/18_and_above/19094.jpg,0,105,113,34
test_images/kriti_dataset/18_and_above/22107.jpg,20,95,99,40
test_images/kriti_dataset/18_and_above/22107.jpg,42,127,71,111
test_images/kriti_dataset/18_and_above/39507.jpg,24,90,92,42
test_images/kriti_dataset/18_and_above/23701.jpg,24,85,87,35
test_images/kriti_dataset/18_and_above/5230.jpg,10,101,100,36
test_images/kriti_dataset/18_and_above/23919.jpg,15,90,91,26
test_images/kriti_dataset/18_and_above/22480.jpg,22,90,93,35
test_images/kriti_dataset/18_and_above/35601.jpg,21,90,90,38
test_images/kriti_dataset/18_and_above/36889.jpg,14,99,99,46
test_images/kriti_dataset/18_and_above/22615.jpg,19,90,97,33
test_images/kriti_dataset/18_and_above/29281.jpg,22,95,103,38
test_images/kriti_dataset/18_and_above/23630.jpg,20,92,97,35
test_images/kriti_dataset/18_and_above/29540.jpg,20,86,101,29
test_images/kriti_dataset/18_and_above/7757.jpg,23,85,97,37
test_images/kriti_dataset/18_and_above/9999.jpg,29,90,97,35
test_images/kriti_dataset/18_and_above/4803.jpg,23,94,98,41
test_images/kriti_dataset/18_and_above/4803.jpg,74,122,119,99
test_images/kriti_dataset/18_and_above/1019.jpg,19,88,96,28
test_images/kriti_dataset/18_and_above/44140.jpg,25,101,98,42
test_images/kriti_dataset/18_and_above/23335.jpg,23,83,86,34
test_images/kriti_dataset/18_and_above/30014.jpg,18,95,103,34
test_images/kriti_dataset/18_and_above/17109.jpg,21,86,99,27
test_images/kriti_dataset/18_and_above/19606.jpg,23,89,96,39
test_images/kriti_dataset/18_and_above/8141.jpg,16,96,96,38
test_images/kriti_dataset/18_and_above/25479.jpg,26,89,96,34
test_images/kriti_dataset/18_and_above/21236.jpg,32,87,99,31
test_images/kriti_dataset/18_and_above/42494.jpg,12,96,102,33
test_images/kriti_dataset/18_and_above/19518.jpg,16,90,94,36
test_images/kriti_dataset/18_and_above/6388.jpg,30,86,92,38
test_images/kriti_dataset/18_and_above/11872.jpg,23,87,93,33
test_images/kriti_dataset/18_and_above/20221.jpg,17,88,105,24
test_images/kriti_dataset/18_and_above/2749.jpg,17,88,105,24
test_images/kriti_dataset/18_and_above/6932.jpg,14,86,95,29
test_images/kriti_dataset/18_and_above/19717.jpg,24,91,88,40
test_images/kriti_dataset/18_and_above/2533.jpg,17,89,102,33
test_images/kriti_dataset/18_and_above/18011.jpg,18,99,101,38
test_images/kriti_dataset/18_and_above/29752.jpg,15,92,93,40
test_images/kriti_dataset/18_and_above/23514.jpg,15,89,90,34
test_images/kriti_dataset/18_and_above/21846.jpg,14,90,97,28
test_images/kriti_dataset/18_and_above/17592.jpg,19,94,91,39
test_images/kriti_dataset/18_and_above/2175.jpg,18,98,102,39
test_images/kriti_dataset/18_and_above/33690.jpg,21,95,97,42
test_images/kriti_dataset/18_and_above/16374.jpg,33,91,96,39
test_images/kriti_dataset/18_and_above/2993.jpg,12,90,98,30
test_images/kriti_dataset/18_and_above/16485.jpg,20,89,101,27
test_images/kriti_dataset/18_and_above/15918.jpg,13,88,101,30
test_images/kriti_dataset/18_and_above/33069.jpg,21,94,94,39
test_images/kriti_dataset/18_and_above/33069.jpg,31,118,45,108
test_images/kriti_dataset/18_and_above/33069.jpg,22,23,34,14
test_images/kriti_dataset/18_and_above/31004.jpg,22,94,101,37
test_images/kriti_dataset/18_and_above/33830.jpg,21,89,98,39
test_images/kriti_dataset/18_and_above/39115.jpg,32,83,94,33
test_images/kriti_dataset/18_and_above/33009.jpg,5,97,95,41
test_images/kriti_dataset/18_and_above/10078.jpg,23,88,91,32
test_images/kriti_dataset/18_and_above/40628.jpg,20,88,96,37
test_images/kriti_dataset/18_and_above/16169.jpg,22,86,90,38
test_images/kriti_dataset/18_and_above/30569.jpg,24,94,96,34
test_images/kriti_dataset/18_and_above/39976.jpg,18,100,99,42
test_images/kriti_dataset/18_and_above/18897.jpg,19,89,100,27
test_images/kriti_dataset/18_and_above/23331.jpg,8,96,96,40
test_images/kriti_dataset/18_and_above/40660.jpg,26,93,97,37
test_images/kriti_dataset/18_and_above/35951.jpg,26,89,95,37
test_images/kriti_dataset/18_and_above/40427.jpg,21,91,92,43
test_images/kriti_dataset/18_and_above/24662.jpg,22,99,96,31
test_images/kriti_dataset/18_and_above/38987.jpg,28,87,78,48
test_images/kriti_dataset/18_and_above/33410.jpg,8,94,96,32
test_images/kriti_dataset/18_and_above/5378.jpg,18,93,94,44
test_images/kriti_dataset/18_and_above/4916.jpg,21,97,94,37
test_images/kriti_dataset/18_and_above/28414.jpg,25,101,90,43
test_images/kriti_dataset/18_and_above/15895.jpg,25,48,81,12
test_images/kriti_dataset/18_and_above/15895.jpg,26,82,87,46
test_images/kriti_dataset/18_and_above/32681.jpg,20,91,100,30
test_images/kriti_dataset/18_and_above/19114.jpg,13,86,82,43
test_images/kriti_dataset/18_and_above/28496.jpg,16,87,98,28
test_images/kriti_dataset/18_and_above/36042.jpg,17,91,93,33
test_images/kriti_dataset/18_and_above/17641.jpg,22,88,90,42
test_images/kriti_dataset/18_and_above/28804.jpg,26,83,92,44
test_images/kriti_dataset/18_and_above/1893.jpg,26,81,95,42
test_images/kriti_dataset/18_and_above/311.jpg,19,99,95,41
test_images/kriti_dataset/18_and_above/27402.jpg,23,92,94,34
test_images/kriti_dataset/18_and_above/4304.jpg,22,91,96,35
test_images/kriti_dataset/18_and_above/8271.jpg,31,78,86,41
test_images/kriti_dataset/18_and_above/43921.jpg,12,86,91,31
test_images/kriti_dataset/18_and_above/30571.jpg,21,94,99,32
test_images/kriti_dataset/18_and_above/12467.jpg,18,93,98,36
test_images/kriti_dataset/18_and_above/37041.jpg,19,92,94,34
test_images/kriti_dataset/18_and_above/35354.jpg,22,91,92,40
test_images/kriti_dataset/18_and_above/20387.jpg,19,90,97,31
test_images/kriti_dataset/18_and_above/28061.jpg,17,94,96,33
test_images/kriti_dataset/18_and_above/9713.jpg,21,99,97,42
test_images/kriti_dataset/18_and_above/41839.jpg,30,84,87,41
test_images/kriti_dataset/18_and_above/8754.jpg,13,95,108,30
test_images/kriti_dataset/18_and_above/18502.jpg,21,93,93,37
test_images/kriti_dataset/18_and_above/37345.jpg,27,84,90,31
test_images/kriti_dataset/18_and_above/2696.jpg,25,94,95,41
test_images/kriti_dataset/18_and_above/36823.jpg,11,88,93,26
test_images/kriti_dataset/18_and_above/9143.jpg,29,86,89,41
